disease_id,disease_name,context_summary,domain,symptoms,urgency_classification,urgency_justification,recommended_tests,prevalence,link
197,diverticulosis,"Diverticulosis is the condition of having small pouches or pockets in the inside walls of your intestines. They develop when the inside lining of your intestines pushes into weak spots in the outer wall. This usually happens gradually over time. As you’re digesting food and food waste makes its way through your intestines each day, it pushes against the weak spots until they eventually begin to cave in.",Gastroenterology / Hepatology,"nausea, rectal bleeding, upper abdominal pain, sharp abdominal pain, diarrhea",mild,Needs timely evaluation,"How is diverticulosis diagnosed? A healthcare provider may notice the pouches during a routine colonoscopy or GI X-ray exam . This is the most common way of discovering diverticulosis since it usually doesn’t cause symptoms on its own. If you do have symptoms, your healthcare provider will seek to discover the cause in steps. They’ll ask you about your medical history, medications, diet and bowel patterns before examining you. Advertisement What tests will be done to diagnose this condition? Exams might include: Physical exam . A provider will check your vital signs , palpate (feel) your abdomen and listen to your bowel sounds. They may insert a gloved finger into your anus ( digital rectal exam ). Blood test . A provider will draw a small blood sample from a vein in your arm and send it to a lab for testing. A blood test can show if you have an infection or significant internal bleeding. Stool test . A provider collects a sample of your poop to test in a lab. A stool test may show signs of infection or gastrointestinal (GI) bleeding . Imaging tests . A provider will look for the diverticula and any related complications on imaging tests, such as a CT scan , a barium enema, a flexible sigmoidoscopy or a colonoscopy.","0.680, 0.674, 0.512, 0.511, 0.503",https://my.clevelandclinic.org/health/diseases/24883-diverticulosis
198,down syndrome,"Down's syndrome is when you're born with an extra chromosome. You usually get an extra chromosome by chance, because of a change in the sperm or egg before you're born.",Genetics / Genomic Medicine,"difficulty speaking, nasal congestion, lack of growth, decreased appetite, cough",mild,"Varies, but usually not an immediate emergency","If you're pregnant, you'll be offered a screening test to find out your chance of having a baby with Down's syndrome. You'll be offered the test between weeks 10 and 14 of pregnancy. It involves an ultrasound scan with a blood test. The blood test can be carried out at the same time as the 12-week scan. If you have a higher chance, you can have further tests.","0.913, 0.716, 0.598, 0.527, 0.519",https://www.nhs.uk/conditions/downs-syndrome/
199,drug abuse,"Substance abuse, also known as drug abuse, is a patterned use of a drug in which the user consumes the substance in amounts or with methods which are harmful to themselves or others, and is a form of substance related disorder.",Psychiatry,"smoking problems, antisocial behavior, drug abuse, abusing alcohol, sweating",mild,Needs mental health evaluation and support,You may be asked to provide a sample of urine or saliva to check what drugs you have been taking.,"0.754, 0.547, 0.537, 0.520, 0.507",https://www.apohs.nhs.uk/advice/substance-misuse/
200,drug abuse (barbiturates),"Substance abuse, also known as drug abuse, is a patterned use of a drug in which the user consumes the substance in amounts or with methods which are harmful to themselves or others, and is a form of substance related disorder.",Psychiatry,"depression, anxiety and nervousness, hostile, abnormal involuntary movements, drug abuse",mild,Needs mental health evaluation and support,You may be asked to provide a sample of urine or saliva to check what drugs you have been taking.,"0.870, 0.774, 0.645, 0.580, 0.580",https://www.apohs.nhs.uk/advice/substance-misuse/
201,drug abuse (cocaine),"Substance abuse, also known as drug abuse, is a patterned use of a drug in which the user consumes the substance in amounts or with methods which are harmful to themselves or others, and is a form of substance related disorder.",Psychiatry,"fears and phobias, abusing alcohol, excessive anger, drug abuse, depression",mild,Needs mental health evaluation and support,You may be asked to provide a sample of urine or saliva to check what drugs you have been taking.,"0.790, 0.555, 0.548, 0.544, 0.540",https://www.apohs.nhs.uk/advice/substance-misuse/
202,drug abuse (methamphetamine),"Substance abuse, also known as drug abuse, is a patterned use of a drug in which the user consumes the substance in amounts or with methods which are harmful to themselves or others, and is a form of substance related disorder.",Psychiatry,"hostile behavior, anxiety and nervousness, feeling ill, shortness of breath, palpitations",mild,Needs mental health evaluation and support,You may be asked to provide a sample of urine or saliva to check what drugs you have been taking.,"0.763, 0.721, 0.684, 0.548, 0.542",https://www.apohs.nhs.uk/advice/substance-misuse/
203,drug abuse (opioids),"Substance abuse, also known as drug abuse, is a patterned use of a drug in which the user consumes the substance in amounts or with methods which are harmful to themselves or others, and is a form of substance related disorder.",Psychiatry,"restlessness, temper problems, drug abuse, insomnia, abusing alcohol
",mild,Needs mental health evaluation and support,You may be asked to provide a sample of urine or saliva to check what drugs you have been taking.,"0.731, 0.539, 0.531, 0.518, 0.501",https://www.apohs.nhs.uk/advice/substance-misuse/
204,drug poisoning due to medication,"Poisoning can happen if you swallow, touch, or breathe in substances that can be harmful, such as chemicals or medicines.",Infectious Diseases,"lip swelling, abusing alcohol, slurring words, drug abuse, depressive or psychotic symptoms",high,Possible toxin/overdose emergency,N/A,"0.783, 0.706, 0.649, 0.543, 0.524",https://www.nhs.uk/conditions/poisoning/
205,drug reaction,N/A,Infectious Diseases,"nausea, skin rash, allergic reaction, headache, peripheral edema",mild,Needs timely evaluation,N/A,"0.691, 0.533, 0.524, 0.522, 0.519",N/A
206,drug withdrawal,"If someone has taken drugs for a while and then stops, or takes a reduced amount, they may experience withdrawal. Withdrawal symptoms can include seizures, sickness and diarrhoea, headaches, pains and hallucinations. The severity of the symptoms will vary depending on the type and amount of drug used but most symptoms will ease after a few weeks.",Psychiatry,"depression, sharp abdominal pain, anxiety and nervousness, dizziness, vomiting",mild,Needs timely evaluation,N/A,"0.756, 0.705, 0.701, 0.654, 0.537",https://derbydrugandalcohol.nhs.uk/self-help/withdrawal-drugs
207,dry eye of unknown cause,N/A,Ophthalmology,"foreign body sensation in eye, pain in eye, diminished vision, eye redness, lacrimation",low,Usually managed with routine outpatient care,N/A,"0.681, 0.540, 0.536, 0.534, 0.530",N/A
208,dumping syndrome,"Dumping syndrome is a medical condition in which your stomach empties its contents into your small intestine more rapidly than it should. It’s also called rapid gastric emptying. When your stomach empties too quickly, your small intestine receives uncomfortably large amounts of poorly digested food. This can cause symptoms of nausea, bloating, abdominal cramps and diarrhea. It can also cause sudden blood sugar changes.",Gastroenterology / Hepatology,"vomiting, nausea, knee lump or mass",mild,"Varies, but usually not an immediate emergency","How is dumping syndrome diagnosed? If you have a history of gastric surgery, even if it was years ago, your healthcare provider may be able to diagnose dumping syndrome based on your symptoms alone. They may give you a self-assessment questionnaire called the Dumping Symptom Rating Scale that scores your symptoms to determine how severe they are. They may also want to run tests to confirm the diagnosis or to rule out other possible causes of your symptoms. This is especially important if you don’t have a history of gastric surgery. Advertisement Tests to diagnose dumping syndrome include: Oral glucose tolerance test . This test measures your blood sugar before and after you drink a glucose solution. It also measures your hematocrit (red blood cell count) . A rise in hematocrit after you drink the glucose indicates large volumes of fluids moving from your bloodstream into your intestines. A drop in blood sugar one to three hours afterward indicates late dumping syndrome. Hydrogen breath test . This test measures hydrogen levels in your breath after you drink a glucose solution. A positive breath test for hydrogen shows that the glucose wasn’t well-absorbed in your small intestine. This suggests that your small intestine was too overloaded. Upper endoscopy . This test examines the inside of your esophagus, stomach and duodenum with an endoscope, a thin, flexible tube with a lighted camera attached. It can help find structural problems and other possible causes of your symptoms. Upper GI series . This imaging test allows healthcare providers to watch a fluid contrast solution travel through your esophagus, stomach and upper small intestine (duodenum). After you drink the solution, a technician takes a series of video X-rays (called fluoroscopy ). The series will show how fast the solution travels. Gastric emptying test. This test measures how fast food moves through your stomach by adding a trace amount of radioactive material to your meal. Your healthcare provider will be able to watch your meal progress through your stomach on a special type of scanner. ","1.00, 0.75, 0.75",https://my.clevelandclinic.org/health/diseases/17835-dumping-syndrome
209,dyshidrosis,N/A,Dermatology,"frequent urination, abnormal appearing skin, acne or pimples, skin rash, skin lesion",low,Usually managed with routine outpatient care,N/A,"0.843, 0.698, 0.638, 0.590, 0.554",N/A
210,dysthymic disorder,N/A,Psychiatry,"excessive anger, loss of sex drive, temper problems, depression, disturbance of memory",low,Usually managed with routine outpatient care,N/A,"0.685, 0.667, 0.661, 0.533, 0.523",N/A
211,ear drum damage,N/A,ENT / Otolaryngology,"pus draining from ear, ringing in ear, redness in ear, pulling at ears, plugged feeling in ear",mild,Needs timely evaluation,N/A,"0.674, 0.532, 0.522, 0.517, 0.508",N/A
212,ear wax impaction,N/A,ENT / Otolaryngology,"fluid in ear, sinus congestion, plugged feeling in ear, ringing in ear, diminished hearing ",low,Usually managed with routine outpatient care,N/A,"0.693, 0.649, 0.522, 0.520, 0.504",N/A
213,eating disorder,An eating disorder is a mental health condition where you use the control of food to cope with feelings and other situations.,Psychiatry,"abusing alcohol, insomnia, acne or pimples, depression, difficulty eating",mild,Needs mental health evaluation and support,N/A,"0.706, 0.688, 0.676, 0.540, 0.528",https://www.nhs.uk/search/click?url=%2Fmental-health%2Ffeelings-symptoms-behaviours%2Fbehaviours%2Feating-disorders%2Foverview%2F&pos=1&hash=dUkZKun84fkhW4GOPZr7533xm6auPwTQ7Cj6MJfR8E4%3D&id=4b856eb4-af6b-4a6c-931e-56244e8405a9&searchText=eating%20disorder&documentId=0b951f3e-72ff-4281-86f9-846dbf9a2abd&pageIndex=0
214,ectopic pregnancy,"An ectopic pregnancy is a pregnancy that happens outside of your uterus . This occurs when a fertilized egg implants in a location that can’t support its growth. An ectopic pregnancy most often happens in your fallopian tube (a structure that connects your ovaries and uterus). Ectopic pregnancies more rarely can occur in your ovary, abdominal cavity or cervix. Pregnancies can’t continue if they’re ectopic because only your uterus is meant to carry a pregnancy.",Endocrinology,"intermenstrual bleeding, lower abdominal pain, vaginal discharge, sharp abdominal pain, nausea ",high,Needs urgent evaluation/treatment,"How is an ectopic pregnancy diagnosed? Most women don’t know that their pregnancy is ectopic until they visit their pregnancy care provider for a prenatal appointment, bloodwork or ultrasound. Your provider may suspect an ectopic pregnancy based on what happens at this appointment. To diagnose an ectopic pregnancy, your provider will perform several tests. This may include a pelvic exam and confirmation of pregnancy. These tests include: Advertisement A urine test : This test involves either peeing on a test strip or into a cup in your provider’s office and then having a test strip dipped into the urine sample. A blood test : You provider may test your blood to see how much of the hormone human chorionic gonadotropin (HCG) you have in your body. Your body only makes HCG during pregnancy. A low amount may indicate an ectopic pregnancy because HCG levels increase dramatically when a fertilized egg implants in your uterus. An ultrasound exam : An ultrasound uses sound waves to create a picture of your body’s internal structures. Your provider will use this test to see where the fertilized egg has implanted. If your provider suspects the ectopic pregnancy has ruptured, they can also perform culdocentesis , but this is rarely used.","0.750, 0.680, 0.653, 0.527, 0.527",https://my.clevelandclinic.org/health/diseases/9687-ectopic-pregnancy
